index,type,name,count,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,L61,L62,L63,L64,L65,L66,L67,L68,L69,L70,L71,L72,L73,L74,L75,L76,L77,L78,L79,L80,L81,L82,L83,L84,L85,L86,L87,L88,L89,L90,L91,L92,L93,L94,L95,L96,L97,L98,L99,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,L110,L111,L112,L113,L114,L115,L116,L117,L118,L119,L120,L121,L122,L123,L124,L125,L126,L127,L128,L129,L130,L131,L132,L133,L134,L135,L136,L137,L138,L139,L140,L141,L142,L143,L144,L145,L146,L147,L148,L149,L150,L151,L152,L153,L154,L155,L156,L157,L158,L159,L160,L161,L162,L163,L164,L165,L166,L167,L168,L169,L170,L171,L172,L173,L174,L175,L176,L177,L178,L179,L180,L181,L182,L183,L184,L185,L186,L187,L188,L189,L190,L191,L192,L193,L194,L195,L196,L197,L198,L199,L200,split
10,bench_pressing,test128.mp4,2.0,3.0,38.0,38.0,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
11,squat,stu4_66.mp4,27.0,62.0,94.0,96.0,130.0,132.0,168.0,172.0,210.0,215.0,250.0,262.0,297.0,298.0,327.0,333.0,371.0,373.0,407.0,413.0,449.0,453.0,491.0,492.0,524.0,530.0,563.0,569.0,601.0,602.0,634.0,635.0,670.0,672.0,707.0,712.0,749.0,750.0,783.0,785.0,818.0,822.0,858.0,864.0,896.0,899.0,933.0,939.0,975.0,975.0,1008.0,1013.0,1043.0,1046.0,1081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
12,sit_up,stu5_61.mp4,2.0,72.0,117.0,117.0,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
13,pull_up,stu6_35.mp4,5.0,22.0,89.0,89.0,147.0,149.0,207.0,207.0,272.0,273.0,329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
14,bench_pressing,val77.mp4,3.0,0.0,43.0,43.0,87.0,87.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
15,squat,stu9_63.mp4,20.0,25.0,80.0,81.0,135.0,135.0,196.0,196.0,254.0,254.0,316.0,317.0,384.0,384.0,457.0,457.0,526.0,526.0,583.0,583.0,643.0,643.0,705.0,705.0,773.0,774.0,834.0,834.0,903.0,903.0,975.0,975.0,1036.0,1036.0,1095.0,1095.0,1160.0,1160.0,1232.0,1232.0,1293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
16,sit_up,stu5_52.mp4,4.0,466.0,534.0,534.0,622.0,622.0,712.0,712.0,810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
17,pull_up,stu2_35.mp4,6.0,77.0,177.0,177.0,249.0,249.0,335.0,335.0,452.0,452.0,570.0,570.0,715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
18,bench_pressing,stu6_1.mp4,5.0,66.0,152.0,228.0,331.0,353.0,441.0,747.0,807.0,807.0,930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
19,sit_up,stu7_57.mp4,43.0,2.0,36.0,36.0,79.0,79.0,121.0,121.0,163.0,163.0,210.0,210.0,250.0,251.0,293.0,294.0,335.0,336.0,382.0,382.0,420.0,421.0,465.0,466.0,509.0,509.0,553.0,554.0,596.0,597.0,641.0,641.0,683.0,684.0,727.0,728.0,770.0,771.0,812.0,813.0,854.0,856.0,899.0,900.0,938.0,940.0,984.0,986.0,1024.0,1024.0,1068.0,1069.0,1109.0,1109.0,1150.0,1151.0,1192.0,1192.0,1231.0,1232.0,1273.0,1274.0,1315.0,1316.0,1354.0,1355.0,1395.0,1397.0,1437.0,1438.0,1476.0,1477.0,1515.0,1519.0,1558.0,1558.0,1599.0,1601.0,1640.0,1641.0,1682.0,1683.0,1722.0,1723.0,1761.0,1761.0,1799.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
20,bench_pressing,train133.mp4,10.0,5.0,32.0,32.0,61.0,61.0,92.0,92.0,119.0,119.0,145.0,145.0,176.0,176.0,206.0,206.0,234.0,234.0,262.0,262.0,299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
21,push_up,stu7_49.mp4,50.0,309.0,354.0,354.0,382.0,382.0,403.0,403.0,426.0,426.0,450.0,451.0,472.0,472.0,495.0,495.0,515.0,515.0,536.0,536.0,557.0,558.0,578.0,579.0,600.0,600.0,623.0,623.0,644.0,644.0,666.0,666.0,687.0,687.0,709.0,710.0,732.0,732.0,754.0,755.0,774.0,774.0,798.0,798.0,818.0,820.0,843.0,844.0,863.0,863.0,885.0,885.0,906.0,907.0,929.0,930.0,950.0,951.0,972.0,972.0,997.0,998.0,1019.0,1020.0,1041.0,1042.0,1066.0,1067.0,1087.0,1089.0,1110.0,1111.0,1133.0,1135.0,1159.0,1160.0,1183.0,1185.0,1205.0,1205.0,1229.0,1230.0,1252.0,1253.0,1274.0,1275.0,1301.0,1303.0,1325.0,1326.0,1350.0,1352.0,1376.0,1376.0,1406.0,1408.0,1433.0,1435.0,1465.0,1467.0,1505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
22,push_up,stu9_51.mp4,62.0,4.0,24.0,24.0,43.0,43.0,61.0,61.0,81.0,81.0,101.0,102.0,119.0,119.0,137.0,137.0,155.0,155.0,174.0,174.0,193.0,193.0,213.0,213.0,232.0,232.0,251.0,251.0,269.0,269.0,286.0,286.0,305.0,305.0,323.0,323.0,343.0,343.0,363.0,363.0,381.0,381.0,398.0,398.0,420.0,420.0,438.0,438.0,457.0,457.0,476.0,476.0,496.0,496.0,513.0,513.0,532.0,533.0,552.0,552.0,571.0,572.0,590.0,590.0,611.0,611.0,630.0,630.0,651.0,651.0,671.0,671.0,691.0,691.0,711.0,711.0,731.0,731.0,753.0,753.0,773.0,773.0,795.0,795.0,816.0,816.0,836.0,836.0,858.0,858.0,878.0,879.0,900.0,900.0,921.0,921.0,942.0,942.0,964.0,964.0,987.0,1061.0,1084.0,1084.0,1106.0,1106.0,1127.0,1127.0,1148.0,1148.0,1169.0,1169.0,1190.0,1190.0,1214.0,1214.0,1236.0,1236.0,1258.0,1258.0,1283.0,1373.0,1397.0,1397.0,1418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
23,sit_up,train3301.mp4,4.0,0.0,21.0,21.0,40.0,40.0,60.0,60.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
24,push_up,stu10_50.mp4,31.0,8.0,32.0,32.0,53.0,53.0,72.0,72.0,94.0,94.0,113.0,113.0,136.0,137.0,156.0,156.0,178.0,178.0,199.0,199.0,220.0,220.0,238.0,238.0,261.0,261.0,283.0,283.0,304.0,304.0,326.0,326.0,348.0,348.0,372.0,372.0,391.0,391.0,413.0,413.0,435.0,435.0,452.0,452.0,475.0,475.0,497.0,497.0,518.0,518.0,540.0,540.0,560.0,560.0,584.0,584.0,605.0,605.0,628.0,628.0,656.0,656.0,704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
25,pull_up,stu8_35.mp4,11.0,276.0,357.0,357.0,436.0,436.0,526.0,526.0,616.0,616.0,699.0,699.0,789.0,789.0,886.0,886.0,1020.0,1020.0,1140.0,1140.0,1264.0,1264.0,1431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
26,squat,stu1_68.mp4,20.0,63.0,106.0,106.0,148.0,148.0,190.0,190.0,237.0,237.0,278.0,278.0,311.0,311.0,359.0,359.0,392.0,392.0,439.0,439.0,477.0,477.0,521.0,521.0,555.0,555.0,596.0,596.0,633.0,633.0,672.0,672.0,709.0,709.0,748.0,748.0,788.0,788.0,823.0,823.0,867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
27,jump_jacks,train1605.mp4,5.0,15.0,56.0,57.0,99.0,100.0,145.0,146.0,190.0,191.0,227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
28,front_raise,train940.mp4,5.0,45.0,94.0,94.0,148.0,148.0,201.0,201.0,255.0,255.0,299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
29,jump_jacks,stu7_34.mp4,44.0,22.0,48.0,48.0,71.0,71.0,94.0,94.0,117.0,117.0,140.0,141.0,161.0,161.0,183.0,183.0,205.0,206.0,227.0,227.0,248.0,248.0,271.0,271.0,293.0,293.0,315.0,315.0,336.0,337.0,358.0,358.0,379.0,379.0,402.0,402.0,424.0,424.0,446.0,447.0,467.0,467.0,490.0,490.0,510.0,510.0,533.0,534.0,555.0,555.0,577.0,577.0,599.0,599.0,620.0,621.0,641.0,641.0,663.0,664.0,685.0,685.0,706.0,706.0,729.0,729.0,749.0,749.0,771.0,771.0,792.0,792.0,814.0,814.0,835.0,836.0,857.0,857.0,878.0,878.0,900.0,900.0,922.0,922.0,943.0,943.0,965.0,965.0,987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
30,sit_up,stu2_58.mp4,37.0,9.0,52.0,53.0,98.0,98.0,141.0,141.0,195.0,195.0,239.0,239.0,287.0,287.0,333.0,333.0,378.0,378.0,418.0,418.0,453.0,453.0,502.0,503.0,543.0,543.0,601.0,602.0,643.0,643.0,689.0,689.0,741.0,741.0,789.0,789.0,844.0,844.0,884.0,885.0,933.0,934.0,982.0,982.0,1038.0,1039.0,1086.0,1086.0,1129.0,1129.0,1181.0,1181.0,1228.0,1229.0,1273.0,1273.0,1324.0,1325.0,1379.0,1380.0,1423.0,1423.0,1474.0,1474.0,1522.0,1523.0,1568.0,1568.0,1612.0,1613.0,1663.0,1664.0,1719.0,1720.0,1759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
31,sit_up,stu4_50.mp4,3.0,136.0,227.0,228.0,339.0,340.0,443.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
32,pull_up,stu1_33.mp4,28.0,16.0,56.0,56.0,91.0,91.0,130.0,130.0,172.0,172.0,201.0,201.0,237.0,237.0,273.0,273.0,302.0,302.0,341.0,341.0,377.0,377.0,413.0,413.0,446.0,446.0,482.0,482.0,519.0,519.0,556.0,556.0,592.0,592.0,624.0,624.0,665.0,665.0,702.0,702.0,743.0,743.0,779.0,779.0,824.0,824.0,864.0,864.0,916.0,916.0,963.0,1024.0,1076.0,1076.0,1127.0,1177.0,1237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
33,front_raise,stu9_22.mp4,6.0,39.0,124.0,124.0,207.0,207.0,277.0,566.0,659.0,659.0,750.0,750.0,851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
34,bench_pressing,stu7_3.mp4,12.0,90.0,167.0,168.0,206.0,206.0,242.0,243.0,281.0,281.0,330.0,330.0,388.0,389.0,460.0,461.0,524.0,525.0,607.0,607.0,680.0,726.0,820.0,822.0,909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
35,front_raise,stu1_14.mp4,3.0,15.0,227.0,227.0,403.0,403.0,540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
36,push_up,stu3_42.mp4,10.0,5.0,62.0,62.0,133.0,133.0,183.0,183.0,247.0,247.0,312.0,313.0,394.0,394.0,465.0,465.0,550.0,550.0,660.0,660.0,748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
37,jump_jacks,stu4_15.mp4,16.0,8.0,37.0,38.0,67.0,67.0,96.0,97.0,124.0,124.0,152.0,152.0,178.0,178.0,205.0,206.0,234.0,235.0,262.0,263.0,292.0,292.0,319.0,320.0,349.0,349.0,375.0,376.0,400.0,400.0,430.0,430.0,462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
38,squat,stu6_62.mp4,20.0,44.0,85.0,85.0,118.0,119.0,150.0,150.0,181.0,181.0,209.0,209.0,240.0,240.0,267.0,267.0,297.0,297.0,325.0,326.0,355.0,355.0,384.0,384.0,410.0,411.0,443.0,444.0,473.0,473.0,501.0,502.0,532.0,532.0,561.0,562.0,591.0,591.0,621.0,622.0,646.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
39,front_raise,train987.mp4,7.0,0.0,36.0,36.0,78.0,78.0,118.0,118.0,160.0,160.0,204.0,204.0,244.0,244.0,279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
40,squat,stu8_64.mp4,3.0,7.0,88.0,88.0,155.0,155.0,227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
